,AKT,AP1,ERK,Ecadherin,EpCAM,Fvalue,GLI,GRB2SOS,GSK3b,IKK,MDM2,MEK,MYC,NFKB,NOTCH,PI3K,RAF,RAS,SMAD23,SMAD4,Snail,TAK1,TGFBR,TGFb,THY1,Twist1,ZEB1,bcatenin,miR200,miR34,p38,p53
"[('TGFBR', 0), ('ZEB1', 1)]",0.041666666666666664,-0.171875,-0.1534090909090909,,-0.03125,-0.14802631578947367,-0.015625,0.25,-0.5,0.0,-0.5,-0.3125,,-0.03125,-0.3958333333333333,-0.1875,-0.25,0.125,-0.25,-0.09765625,-0.234375,-0.5,-0.16319444444444445,-0.125,,-0.125,-0.09375,-0.09722222222222222,-0.25,-0.2604166666666667,-0.25,-0.19375
"[('RAF', 1), ('TGFBR', 1)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
"[('Ecadherin', 0), ('PI3K', 0)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.3526315789473684,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,0.5,-0.5,-0.25,-0.5,-0.375,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.1
"[('RAS', 0), ('TGFBR', 0)]",-0.020833333333333332,-0.171875,-0.15056818181818182,,-0.03125,-0.19375,-0.015625,-0.5,-0.25,0.0,-0.5,-0.3125,,-0.03125,-0.4583333333333333,0.125,0.0,-0.4375,-0.25,-0.09765625,-0.19791666666666666,-0.5,-0.2534722222222222,-0.09375,,-0.1875,-0.15625,-0.13541666666666666,-0.4375,-0.2604166666666667,-0.25,-0.1625
"[('NOTCH', 1), ('miR34', 0)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
"[('EpCAM', 1), ('TGFb', 0)]",-0.020833333333333332,0.09375,-0.20170454545454544,,-0.09375,-0.1763157894736842,-0.03125,0.25,-0.5,-0.5,-0.5,-0.3125,,-0.1875,-0.2916666666666667,-0.375,-0.25,0.125,0.0,-0.10546875,-0.17708333333333334,-0.5,-0.2847222222222222,-0.375,,-0.1875,-0.125,-0.0798611111111111,-0.4375,-0.23958333333333334,-0.25,-0.203125
"[('PI3K', 1), ('Snail', 1)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
"[('SMAD23', 0), ('Twist1', 1)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.3631578947368421,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,0.5,-0.375,-0.5,-0.5,-0.3888888888888889,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
"[('MYC', 0), ('miR200', 0)]",-0.5,0.0,-0.13636363636363635,,-0.5,-0.3736842105263158,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.2777777777777778,-0.5,-0.16666666666666666,-0.5,-0.1
"[('AKT', 1), ('MEK', 1)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
"[('AKT', 1), ('ZEB1', 1)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
"[('IKK', 0), ('PI3K', 1)]",-0.16666666666666666,0.0,-0.22727272727272727,,0.5,-0.3631578947368421,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,0.0,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
"[('EpCAM', 0), ('GLI', 0)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.34210526315789475,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,-0.5,-0.5,-0.3888888888888889,-0.5,,-0.5,-0.5,-0.2777777777777778,-0.5,-0.5,-0.5,-0.2
"[('EpCAM', 0), ('miR34', 0)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
"[('ERK', 1), ('NOTCH', 0)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.33157894736842103,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,-0.5,-0.5,-0.25,,-0.5,-0.5,-0.2777777777777778,-0.5,-0.16666666666666666,-0.5,-0.2
"[('TAK1', 0), ('miR200', 0)]",-0.16666666666666666,0.0,-0.22727272727272727,,0.5,-0.34210526315789475,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.25,-0.5,-0.375,-0.5,-0.5,-0.3888888888888889,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,0.5,-0.2
"[('IKK', 0), ('THY1', 1)]",-0.16666666666666666,0.0,-0.22727272727272727,,0.5,-0.3631578947368421,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,0.0,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
"[('NOTCH', 0), ('PI3K', 1)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.33157894736842103,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,-0.5,-0.5,-0.25,,-0.5,-0.5,-0.2777777777777778,-0.5,-0.16666666666666666,-0.5,-0.2
"[('ERK', 0), ('RAF', 0)]",-0.3333333333333333,-0.5,0.09090909090909091,,0.0,-0.2631578947368421,-0.25,-0.5,-0.5,-0.5,-0.5,0.5,,-0.5,-0.5,-0.5,0.5,-0.125,-0.5,-0.1875,-0.5,-0.5,-0.2777777777777778,-0.5,,-0.5,-0.25,-0.1111111111111111,-0.5,-0.3333333333333333,-0.5,-0.35
"[('TGFb', 0), ('bcatenin', 1)]",0.0,-0.171875,-0.14204545454545456,,-0.03125,-0.16776315789473684,0.1875,0.25,-0.5,-0.5,-0.5,-0.375,,-0.125,-0.2916666666666667,-0.375,-0.25,0.0,0.0,-0.109375,-0.15625,-0.5,-0.2708333333333333,-0.375,,-0.1875,-0.1328125,0.027777777777777776,-0.5,-0.23958333333333334,-0.25,-0.25
"[('MYC', 1), ('miR200', 1)]",-0.5,-0.5,-0.045454545454545456,,-0.5,-0.33157894736842103,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,-0.16666666666666666,-0.5,-0.5,-0.25,,-0.5,0.0,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
"[('Ecadherin', 1), ('Snail', 0)]",-0.5,0.5,-0.3181818181818182,,0.5,-0.22631578947368422,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,0.16666666666666666,-0.5,-0.2777777777777778,-0.5,,0.0,0.0,-0.2777777777777778,-0.5,0.16666666666666666,-0.5,-0.1
"[('miR34', 0), ('p53', 1)]",-0.5,0.0,-0.09090909090909091,,-0.5,-0.30526315789473685,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3333333333333333,-0.5,-0.5,-0.375,,-0.5,-0.125,-0.2222222222222222,-0.5,-0.16666666666666666,-0.5,0.05
"[('AP1', 1), ('NFKB', 1)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
"[('AKT', 0), ('MDM2', 1)]",0.16666666666666666,0.0,-0.22727272727272727,,0.5,-0.3105263157894737,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,,-0.5,-0.16666666666666666,0.5,-0.5,-0.5,-0.5,-0.25,-0.5,0.0,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.1
"[('AP1', 0), ('GLI', 0)]",-0.5,0.0,-0.13636363636363635,,0.5,-0.3,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.125,-0.5,-0.5,-0.3888888888888889,-0.5,,0.0,-0.5,-0.2777777777777778,-0.5,-0.5,0.5,-0.2
"[('AP1', 1), ('p38', 0)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.3631578947368421,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.25,-0.5,-0.375,-0.5,0.0,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,0.5,-0.2
"[('MDM2', 0), ('miR34', 1)]",-0.5,0.0,-0.18181818181818182,,-0.5,-0.28421052631578947,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.16666666666666666,-0.5,-0.3888888888888889,-0.375,,-0.5,-0.125,-0.2222222222222222,-0.5,0.16666666666666666,-0.5,0.05
"[('ERK', 1), ('TGFBR', 0)]",-0.16666666666666666,0.25,-0.45454545454545453,,0.5,-0.1736842105263158,0.25,0.5,-0.5,0.5,-0.5,0.5,,0.0,-0.5,-0.5,-0.5,0.0,-0.5,-0.1875,-0.16666666666666666,-0.5,-0.05555555555555555,-0.25,,-0.25,-0.25,-0.2222222222222222,-0.5,-0.16666666666666666,0.5,-0.15
"[('Ecadherin', 0), ('p53', 0)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
"[('ERK', 0), ('RAF', 1)]",-0.3333333333333333,-0.5,0.0,,0.0,-0.30526315789473685,-0.25,-0.5,-0.5,-0.5,-0.5,0.5,,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,-0.1875,-0.5,-0.5,-0.3888888888888889,-0.5,,-0.5,-0.25,-0.1111111111111111,-0.5,-0.3333333333333333,-0.5,-0.35
"[('THY1', 0), ('miR200', 0)]",-0.16666666666666666,0.0,-0.22727272727272727,,0.5,-0.3526315789473684,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.3333333333333333,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.2777777777777778,-0.5,-0.5,-0.5,-0.1
"[('NFKB', 0), ('TGFb', 0)]",-0.020833333333333332,-0.15625,-0.1903409090909091,,-0.03125,-0.18421052631578946,-0.03125,0.25,-0.5,-0.5,-0.5,-0.3125,,-0.1875,-0.2916666666666667,-0.375,-0.25,0.125,0.0,-0.1328125,-0.17708333333333334,-0.5,-0.2847222222222222,-0.375,,-0.1875,-0.125,-0.08333333333333333,-0.4375,-0.22916666666666666,-0.25,-0.225
"[('Ecadherin', 1), ('GLI', 0)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.3105263157894737,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,-0.3333333333333333,-0.5,-0.3888888888888889,-0.5,,0.0,-0.25,-0.2777777777777778,-0.5,-0.5,-0.5,-0.2
"[('IKK', 0), ('SMAD23', 0)]",-0.16666666666666666,0.0,-0.22727272727272727,,0.5,-0.33157894736842103,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,0.5,-0.375,-0.5,0.0,-0.3888888888888889,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
"[('GRB2SOS', 1), ('TGFBR', 0)]",0.0,-0.171875,-0.17897727272727273,,-0.03125,-0.1667763157894737,0.046875,-0.5,-0.5,0.0,-0.5,-0.3125,,-0.03125,-0.4166666666666667,-0.5,-0.25,0.0,-0.25,-0.11328125,-0.1875,-0.5,-0.08680555555555555,-0.09375,,-0.1875,-0.15625,-0.08680555555555555,-0.4375,-0.2604166666666667,-0.25,-0.15625
"[('AP1', 1), ('SMAD4', 0)]",-0.4166666666666667,-0.25,-0.03409090909090909,,-0.25,-0.22894736842105262,-0.25,-0.5,-0.5,-0.5,-0.5,-0.5,,0.0,-0.5,-0.5,-0.5,-0.5,0.5,0.15625,-0.20833333333333334,-0.5,-0.2638888888888889,-0.40625,,-0.25,-0.0625,-0.3333333333333333,-0.5,-0.20833333333333334,-0.5,-0.15
"[('PI3K', 1), ('SMAD4', 0)]",-0.4166666666666667,-0.25,-0.03409090909090909,,-0.25,-0.22894736842105262,-0.25,-0.5,-0.5,-0.5,-0.5,-0.5,,0.0,-0.5,-0.5,-0.5,-0.5,0.5,0.15625,-0.20833333333333334,-0.5,-0.2638888888888889,-0.40625,,-0.25,-0.0625,-0.3333333333333333,-0.5,-0.20833333333333334,-0.5,-0.15
"[('MYC', 0), ('p38', 0)]",-0.5,0.0,-0.13636363636363635,,-0.5,-0.34210526315789475,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.25,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,,-0.5,-0.5,-0.2777777777777778,-0.5,-0.16666666666666666,0.5,-0.1
"[('EpCAM', 1), ('MYC', 1)]",-0.5,-0.5,-0.13636363636363635,,-0.5,-0.4052631578947368,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.25,-0.5,-0.5,-0.5,-0.5,-0.3
"[('SMAD23', 1), ('THY1', 0)]",-0.16666666666666666,0.0,-0.22727272727272727,,0.5,-0.3526315789473684,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.3333333333333333,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.2777777777777778,-0.5,-0.5,-0.5,-0.1
"[('AKT', 0), ('Ecadherin', 0)]",0.16666666666666666,0.0,-0.22727272727272727,,0.5,-0.3105263157894737,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,,-0.5,-0.16666666666666666,0.5,-0.5,-0.5,-0.5,-0.25,-0.5,0.0,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.1
"[('AKT', 0), ('Ecadherin', 1)]",0.16666666666666666,0.0,-0.22727272727272727,,0.5,-0.2789473684210526,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,,-0.5,-0.16666666666666666,0.5,-0.5,-0.5,-0.5,-0.25,-0.3333333333333333,0.0,-0.5,-0.5,,0.0,-0.25,-0.3888888888888889,-0.5,-0.5,-0.5,-0.1
"[('AP1', 1), ('miR34', 0)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
"[('EpCAM', 1), ('IKK', 0)]",-0.16666666666666666,-0.5,-0.13636363636363635,,-0.5,-0.3736842105263158,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,-0.5,0.0,-0.5,-0.5,,-0.5,-0.25,-0.5,-0.5,-0.5,-0.5,-0.3
"[('ERK', 1), ('SMAD4', 0)]",-0.4166666666666667,-0.25,-0.03409090909090909,,-0.25,-0.22894736842105262,-0.25,-0.5,-0.5,-0.5,-0.5,-0.5,,0.0,-0.5,-0.5,-0.5,-0.5,0.5,0.15625,-0.20833333333333334,-0.5,-0.2638888888888889,-0.40625,,-0.25,-0.0625,-0.3333333333333333,-0.5,-0.20833333333333334,-0.5,-0.15
"[('GRB2SOS', 0), ('SMAD4', 0)]",-0.22916666666666666,-0.1875,0.022727272727272728,,-0.25,-0.14342105263157895,-0.0625,0.25,-0.5,-0.25,-0.5,-0.5,,-0.125,-0.25,-0.25,-0.5,-0.25,0.5,0.046875,-0.19791666666666666,-0.25,-0.08333333333333333,-0.34375,,-0.25,-0.0625,-0.11805555555555555,-0.5,-0.2916666666666667,-0.5,-0.19375
"[('PI3K', 0), ('p38', 1)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.3526315789473684,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,0.5,-0.5,-0.25,-0.5,-0.375,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.1
"[('GRB2SOS', 0), ('miR34', 0)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.3631578947368421,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,-0.5,-0.3888888888888889,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
"[('RAS', 1), ('TGFb', 1)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
