,AKT,AP1,ERK,Ecadherin,EpCAM,Fvalue,GLI,GRB2SOS,GSK3b,IKK,MDM2,MEK,MYC,NFKB,NOTCH,PI3K,RAF,RAS,SMAD23,SMAD4,Snail,TAK1,TGFBR,TGFb,THY1,Twist1,ZEB1,bcatenin,miR200,miR34,p38,p53
"[('SMAD4', 1), ('Twist1', 0)]",-0.5,-0.25,-0.3,-0.16666666666666666,0.0,-0.34210526315789475,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('PI3K', 1), ('p53', 0)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('SMAD4', 1), ('TAK1', 0)]",-0.5,-0.25,-0.3,-0.5,0.0,-0.34210526315789475,-0.5,-0.5,-0.5,0.0,0.0,0.0,-0.16666666666666666,0.0,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,0.0,-0.5
"[('IKK', 0), ('MEK', 0)]",-0.5,-0.25,0.0,-0.5,-0.08333333333333333,-0.2631578947368421,-0.3333333333333333,-0.5,-0.125,0.5,0.0,0.5,-0.08333333333333333,0.0,-0.3333333333333333,-0.5,-0.5,-0.5,-0.5,-0.16666666666666666,-0.42857142857142855,-0.5,-0.5,-0.5,-0.375,-0.16666666666666666,-0.125,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5
"[('TGFBR', 0), ('p53', 0)]",-0.375,-0.125,-0.2,-0.16666666666666666,-0.14583333333333334,-0.1625,-0.08333333333333333,-0.5,-0.125,0.0,-0.25,-0.25,-0.13541666666666666,-0.25,-0.25,-0.16666666666666666,-0.16666666666666666,0.5,-0.25,-0.08333333333333333,-0.13839285714285715,-0.5,0.5,-0.5,-0.2109375,-0.03125,-0.1875,-0.16666666666666666,-0.3046875,-0.125,0.0,0.0
"[('SMAD4', 0), ('miR200', 1)]",-0.125,-0.25,-0.2,-0.16666666666666666,-0.25,-0.21578947368421053,-0.16666666666666666,-0.5,-0.5,-0.5,-0.25,0.0,-0.25,-0.5,-0.25,-0.3333333333333333,-0.16666666666666666,-0.5,-0.5,0.5,-0.07142857142857142,-0.5,-0.5,-0.5,-0.25,-0.16666666666666666,0.125,-0.5,0.0,-0.15,-0.5,-0.5
"[('NFKB', 1), ('ZEB1', 0)]",-0.5,-0.5,-0.3,-0.16666666666666666,-0.16666666666666666,-0.34210526315789475,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.3333333333333333,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,-0.25,-0.1,-0.5,-0.5
"[('GSK3b', 1), ('TAK1', 0)]",-0.5,-0.25,-0.1,-0.5,-0.16666666666666666,-0.22631578947368422,-0.16666666666666666,-0.5,0.25,0.0,0.0,0.0,0.0,0.0,-0.16666666666666666,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.35714285714285715,0.5,-0.5,-0.5,-0.25,-0.5,-0.25,0.16666666666666666,-0.5,-0.3,0.0,-0.5
"[('PI3K', 0), ('RAS', 1)]",-0.25,-0.5,-0.3,-0.5,0.0,-0.3526315789473684,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('RAS', 1), ('SMAD4', 1)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('EpCAM', 0), ('Twist1', 0)]",-0.5,-0.25,-0.3,-0.16666666666666666,0.0,-0.34210526315789475,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('TGFBR', 0), ('ZEB1', 1)]",-0.125,-0.1875,-0.1625,-0.16666666666666666,-0.125,-0.14802631578947367,-0.08333333333333333,-0.5,-0.125,-0.09375,-0.25,-0.25,-0.13541666666666666,-0.25,-0.25,-0.16666666666666666,-0.16666666666666666,0.5,-0.25,-0.08333333333333333,-0.13839285714285715,-0.5,0.5,-0.5,-0.15625,-0.125,0.0234375,-0.16666666666666666,-0.25,-0.125,0.0,-0.5
"[('RAF', 1), ('TGFBR', 1)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('Ecadherin', 0), ('PI3K', 0)]",-0.25,-0.5,-0.3,-0.5,0.0,-0.3526315789473684,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('RAS', 0), ('TGFBR', 0)]",-0.125,-0.1875,-0.1625,-0.20833333333333334,-0.13541666666666666,-0.19375,-0.16666666666666666,-0.5,-0.125,-0.1875,-0.25,-0.25,-0.13541666666666666,-0.25,-0.25,-0.3333333333333333,-0.2708333333333333,-0.5,-0.25,-0.08333333333333333,-0.13839285714285715,-0.5,0.5,-0.5,-0.15625,-0.125,-0.15625,-0.25,-0.1875,-0.1625,-0.5,-0.5
"[('NOTCH', 1), ('miR34', 0)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('EpCAM', 1), ('TGFb', 0)]",-0.125,-0.1875,-0.1625,-0.20833333333333334,0.0,-0.1763157894736842,-0.16666666666666666,-0.5,-0.125,-0.1875,-0.25,-0.25,-0.14583333333333334,-0.5,-0.22916666666666666,-0.16666666666666666,-0.16666666666666666,0.5,-0.5,-0.16666666666666666,-0.16964285714285715,-0.5,-0.5,-0.5,-0.15625,-0.125,-0.15625,-0.16666666666666666,-0.125,-0.1625,0.0,-0.5
"[('PI3K', 1), ('Snail', 1)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('SMAD23', 0), ('Twist1', 1)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.3631578947368421,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('MYC', 0), ('miR200', 0)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.3736842105263158,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('AKT', 1), ('MEK', 1)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('AKT', 1), ('ZEB1', 1)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('IKK', 0), ('PI3K', 1)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.3631578947368421,-0.5,-0.5,-0.5,0.5,0.0,0.0,-0.16666666666666666,0.0,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('EpCAM', 0), ('GLI', 0)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.34210526315789475,0.5,-0.5,-0.25,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.35714285714285715,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('EpCAM', 0), ('miR34', 0)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('ERK', 1), ('NOTCH', 0)]",-0.25,-0.5,-0.3,-0.5,0.0,-0.33157894736842103,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,0.0,0.5,-0.5,-0.16666666666666666,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('TAK1', 0), ('miR200', 0)]",-0.5,-0.25,-0.3,-0.5,0.0,-0.34210526315789475,-0.5,-0.5,-0.5,0.0,0.0,0.0,-0.16666666666666666,0.0,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,0.0,-0.5
"[('IKK', 0), ('THY1', 1)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.3631578947368421,-0.5,-0.5,-0.5,0.5,0.0,0.0,-0.16666666666666666,0.0,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('NOTCH', 0), ('PI3K', 1)]",-0.25,-0.5,-0.3,-0.5,0.0,-0.33157894736842103,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,0.0,0.5,-0.5,-0.16666666666666666,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('ERK', 0), ('RAF', 0)]",-0.5,-0.25,0.2,-0.5,-0.08333333333333333,-0.2631578947368421,-0.3333333333333333,-0.5,-0.125,-0.5,0.0,0.0,-0.08333333333333333,-0.5,-0.3333333333333333,-0.5,0.5,-0.5,-0.5,-0.16666666666666666,-0.42857142857142855,-0.5,-0.5,-0.5,-0.375,-0.16666666666666666,-0.125,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5
"[('TGFb', 0), ('bcatenin', 1)]",-0.125,-0.1875,-0.125,-0.20833333333333334,-0.14583333333333334,-0.16776315789473684,0.0,-0.5,0.0,-0.1875,-0.25,-0.25,-0.13541666666666666,-0.5,-0.0625,-0.16666666666666666,-0.16666666666666666,0.5,-0.5,-0.16666666666666666,-0.125,-0.5,-0.5,-0.5,-0.1875,-0.125,-0.125,-0.2916666666666667,-0.125,-0.1625,0.0,-0.5
"[('MYC', 1), ('miR200', 1)]",-0.5,-0.5,-0.3,-0.16666666666666666,-0.16666666666666666,-0.33157894736842103,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.3333333333333333,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.25,-0.5,0.25,-0.1,-0.5,-0.5
"[('Ecadherin', 1), ('Snail', 0)]",-0.5,-0.5,-0.3,0.16666666666666666,0.0,-0.22631578947368422,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,-0.5,-0.16666666666666666,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,0.35714285714285715,-0.5,-0.5,-0.5,-0.25,-0.16666666666666666,-0.25,-0.5,-0.25,0.1,-0.5,-0.5
"[('miR34', 0), ('p53', 1)]",-0.25,-0.5,-0.5,-0.3333333333333333,-0.08333333333333333,-0.30526315789473685,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.5,-0.5,-0.16666666666666666,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,-0.16666666666666666,-0.125,-0.5,-0.125,0.0,-0.5,0.5
"[('AP1', 1), ('NFKB', 1)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('AKT', 0), ('MDM2', 1)]",0.5,-0.5,-0.3,-0.5,0.0,-0.3105263157894737,-0.5,-0.5,-0.25,0.0,0.0,0.0,-0.16666666666666666,0.0,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('AP1', 0), ('GLI', 0)]",-0.5,0.5,-0.3,-0.5,-0.16666666666666666,-0.3,0.5,-0.5,-0.25,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.21428571428571427,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('AP1', 1), ('p38', 0)]",-0.5,-0.25,-0.3,-0.5,0.0,-0.3631578947368421,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,0.5,-0.5
"[('MDM2', 0), ('miR34', 1)]",-0.25,-0.5,-0.5,-0.3333333333333333,-0.08333333333333333,-0.28421052631578947,-0.5,-0.5,-0.5,-0.5,0.5,0.0,-0.16666666666666666,-0.5,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.5,-0.5,-0.5,-0.35714285714285715,-0.5,-0.5,-0.5,-0.25,-0.16666666666666666,-0.125,-0.5,-0.125,0.0,-0.5,-0.5
"[('ERK', 1), ('TGFBR', 0)]",-0.5,-0.25,0.1,-0.16666666666666666,0.0,-0.1736842105263158,0.16666666666666666,-0.5,-0.25,0.0,0.0,-0.5,-0.08333333333333333,0.0,-0.3333333333333333,-0.16666666666666666,-0.16666666666666666,0.5,0.0,-0.16666666666666666,-0.07142857142857142,-0.5,0.5,-0.5,-0.375,-0.3333333333333333,-0.375,-0.5,-0.375,-0.1,0.0,-0.5
"[('Ecadherin', 0), ('p53', 0)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('ERK', 0), ('RAF', 1)]",-0.5,-0.25,0.2,-0.5,-0.08333333333333333,-0.30526315789473685,-0.3333333333333333,-0.5,-0.125,-0.5,0.0,-0.5,-0.08333333333333333,-0.5,-0.3333333333333333,-0.5,-0.5,-0.5,-0.5,-0.16666666666666666,-0.42857142857142855,-0.5,-0.5,-0.5,-0.375,-0.16666666666666666,-0.125,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5
"[('THY1', 0), ('miR200', 0)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.3526315789473684,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('NFKB', 0), ('TGFb', 0)]",-0.125,-0.1875,-0.1625,-0.20833333333333334,-0.13541666666666666,-0.18421052631578946,-0.16666666666666666,-0.5,-0.125,-0.1875,-0.25,-0.25,-0.13541666666666666,-0.5,-0.22916666666666666,-0.16666666666666666,-0.16666666666666666,0.5,-0.5,-0.16666666666666666,-0.16964285714285715,-0.5,-0.5,-0.5,-0.15625,-0.125,-0.15625,-0.16666666666666666,-0.125,-0.1625,0.0,-0.5
"[('Ecadherin', 1), ('GLI', 0)]",-0.5,-0.5,-0.3,0.5,0.0,-0.3105263157894737,0.5,-0.5,-0.25,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.35714285714285715,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('IKK', 0), ('SMAD23', 0)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.33157894736842103,-0.5,-0.5,-0.5,0.5,0.0,0.0,-0.16666666666666666,0.0,-0.5,-0.5,-0.16666666666666666,-0.5,0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('GRB2SOS', 1), ('TGFBR', 0)]",-0.25,-0.1875,-0.1625,-0.20833333333333334,-0.13541666666666666,-0.1667763157894737,-0.08333333333333333,0.5,-0.125,0.0,-0.25,-0.25,-0.13541666666666666,-0.25,-0.25,-0.3333333333333333,-0.16666666666666666,-0.5,-0.25,-0.08333333333333333,-0.13839285714285715,-0.5,0.5,-0.5,-0.1875,-0.125,-0.15625,-0.16666666666666666,-0.1875,-0.1625,0.0,-0.5
"[('AP1', 1), ('SMAD4', 0)]",-0.125,-0.25,-0.2,-0.16666666666666666,-0.16666666666666666,-0.22894736842105262,-0.16666666666666666,-0.5,-0.5,-0.5,-0.25,0.0,-0.25,-0.5,-0.2916666666666667,-0.3333333333333333,-0.16666666666666666,-0.5,-0.5,0.5,-0.07142857142857142,-0.5,-0.5,-0.5,-0.25,-0.16666666666666666,-0.125,-0.5,-0.1875,-0.125,-0.5,-0.5
"[('PI3K', 1), ('SMAD4', 0)]",-0.125,-0.25,-0.2,-0.16666666666666666,-0.16666666666666666,-0.22894736842105262,-0.16666666666666666,-0.5,-0.5,-0.5,-0.25,0.0,-0.25,-0.5,-0.2916666666666667,-0.3333333333333333,-0.16666666666666666,-0.5,-0.5,0.5,-0.07142857142857142,-0.5,-0.5,-0.5,-0.25,-0.16666666666666666,-0.125,-0.5,-0.1875,-0.125,-0.5,-0.5
"[('MYC', 0), ('p38', 0)]",-0.5,-0.25,-0.3,-0.5,0.0,-0.34210526315789475,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,0.5,-0.5
"[('EpCAM', 1), ('MYC', 1)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.4052631578947368,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.3333333333333333,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('SMAD23', 1), ('THY1', 0)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.3526315789473684,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('AKT', 0), ('Ecadherin', 0)]",0.5,-0.5,-0.3,-0.5,0.0,-0.3105263157894737,-0.5,-0.5,-0.25,0.0,0.0,0.0,-0.16666666666666666,0.0,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('AKT', 0), ('Ecadherin', 1)]",0.5,-0.5,-0.3,0.5,0.0,-0.2789473684210526,-0.5,-0.5,-0.25,0.0,0.0,0.0,-0.16666666666666666,0.0,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('AP1', 1), ('miR34', 0)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('EpCAM', 1), ('IKK', 0)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.3736842105263158,-0.5,-0.5,-0.5,0.5,0.0,0.0,-0.3333333333333333,0.0,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
